姓名,学号,性别,分组,初始积分（可不填）
测试学生01,01,男,青龙队,0
测试学生02,02,女,白虎机动队,0
测试学生03,03,男,朱雀队,0
测试学生04,04,女,玄武队,0
测试学生05,05,男,麒麟队,0
测试学生06,06,女,青龙队,0
测试学生07,07,男,白虎机动队,0
测试学生08,08,女,朱雀队,0
测试学生09,09,男,玄武队,0
测试学生10,10,女,麒麟队,0
测试学生11,11,男,青龙队,0
测试学生12,12,女,白虎机动队,0
测试学生13,13,男,朱雀队,0
测试学生14,14,女,玄武队,0
测试学生15,15,男,麒麟队,0
测试学生16,16,女,青龙队,0
测试学生17,17,男,白虎机动队,0
测试学生18,18,女,朱雀队,0
测试学生19,19,男,玄武队,0
测试学生20,20,女,麒麟队,0
测试学生21,21,男,青龙队,0
测试学生22,22,女,白虎机动队,0
测试学生23,23,男,朱雀队,0
测试学生24,24,女,玄武队,0
测试学生25,25,男,麒麟队,0
测试学生26,26,女,青龙队,0
测试学生27,27,男,白虎机动队,0
测试学生28,28,女,朱雀队,0
测试学生29,29,男,玄武队,0
测试学生30,30,女,麒麟队,0
测试学生31,31,男,青龙队,0
测试学生32,32,女,白虎机动队,0
测试学生33,33,男,朱雀队,0
测试学生34,34,女,玄武队,0
测试学生35,35,男,麒麟队,0
测试学生36,36,女,青龙队,0
测试学生37,37,男,白虎机动队,0
测试学生38,38,女,朱雀队,0
测试学生39,39,男,玄武队,0
测试学生40,40,女,麒麟队,0
